"source_id","location_text"
"226","KCN thuộc xã Hàm Liên - huyện Hàm Thuận Bắc và xã Phong Nẫm - Tp.Phan Thiết - tỉnh Bình Thuận nằm ngay ngã tư quốc lộ 1A và quốc lộ 28, liền kề với KCN Phan Thiết GĐ1, cách TP Phan Thiết 2 km, cách TP.HCM 200 km."
"228","Khu Công nghiệp Việt Hương 1 nằm ở Km11 xã Thuận Giao, thị xã Thuận An, Tỉnh Bình Dương"
"229","KCN Châu Đức thuộc huyện Châu Đức, tỉnh BRVT, thuận lợi kết nối với các đường giao thông chính: 13 km đến Quốc lộ 51; 6 km đến Quốc lộ 56; 40km đến đường cao tốc TP.HCM-Long Thành; 54km đến sân bay Long Thành (trong tương lai)"
"23","Tiếp giáp với quốc lộ 1A mới và sông Cầu, khoảng cách từ khu công nghiệp này đến thành phố Bắc Giang là 15 km, đến thủ đô Hà Nội và sân bay quốc tế Nội Bà là 35 km; đến Cảng Hải Phòng là 105 km, đến Cửa khẩu Hữu Nghị là 125 km và đến cảng nước sâu Cái Lân tỉnh Quảng Ninh là 115 km."
"230","Khu công nghiệp Liên Chiểu nằm trên tuyến đường Quốc lộ 1A, cách đường tránh Thành phố Đà Nẵng và Hầm đường bộ Hải Vân 500m. Đây là các trục đường giao thông quan trọng, nối liền các trung tâm kinh tế lớn của Việt Nam như Hà Nội, đi miền Trung- Tây Nguyên, đi Thành phố Hồ Chí Minh rất thuận lợi cho việc vận chuyển xuất nhập khẩu hàng hóa."
"231","Vị trí khu công nghiệp Việt Hương 2 nằm ở Ấp2, Xã An Tây, Thị xã Bến Cát, Tỉnh Bình Dương. Thuộc vùng kinh tế trọng điểm vùng Đông Nam Bộ."
"232","Khu Công Nghiệp Nhơn Hội (Khu A) nằm trong KKT Nhơn Hội, xã Nhơn Hội, TP Quy Nhơn, tỉnh Bình Định, cách trung tâm TP Quy Nhơn 6km về phía Đông."
"233","VSIP II Bình Dương nằm trong khu liên hợp Công nghiệp, Dịch vụ và Đô thị Bình Dương (4.196 héc-ta) là nơi đang quy hoạch xây dựng trung tâm thành phố mới Bình Dương trong tương lai. Đến nay, KCN VSIP II đã hoàn thành xây dựng cơ sở hạ tầng, thu hút được 129 dự án đến từ hơn 20 quốc gia và vùng lãnh thổ với tổng số vốn đầu tư trên 1,5 tỷ Đô-la Mỹ."
"234","Khu công nghiệp Điềm Thụy A nằm cách thành phố Thái Nguyên về phía Nam cách thủ đô Hà Nội về phía Bắc. Được kết nối với đường quốc lộ số 3 nhờ tỉnh lộ 261, nắm song song so với đường cao tốc Hà Nội - Thái Nguyên, cách nút giao Yên Bình: 5.5km"
"24","KCN Đình Trám là KCN được thành lập sớm nhất tỉnh Bắc Giang (2003), thuộc xã Hồng Thái và xã Hoàng Ninh, huyện Việt Yên, tỉnh Bắc Giang với tổng diện tích 127 ha, đến năm 2019 đã thu hút được 138 dự án (trong đó có 79 dự án FDI), tổng vốn đăng ký 1.782 tỷ đồng và 347 triệu USD. Không chỉ có các dự án Khu B, Khu đô thị mới Sen Hồ đang được triển khai hứa hẹn sẽ rất hấp dẫn."
"244","KCN Phong Điền thuộc huyện Phong Điền, tỉnh Thừa Thiên Huế, cách thành phố Huế khoảng 30km về phía Bắc; nằm gần Quốc lộ 1A và đường sắt Bắc Nam. Cách sân bay quốc tế Phú Bài khoảng 45km và cảng biển Chân Mây khoảng 80km."
"245","KCN Phú Bài nằm dọc theo tuyến quốc lộ 1A và đường sắt Bắc Nam; cạnh sân bay quốc tế Phú Bài; cách cảng biển Chân Mây 40km về phía Nam"
"246","KCN Phú Đa thuộc xã Phú Đa, huyện Phú Vang; nằm cách Quốc lộ 1A khoảng 6km, cách cảng biển Thuận An khoảng 6 km, cách Sân bay quốc tế Phú Bài 8km, cách cảng Chân Mây 45km."
"247","KCN Quảng Vinh thuộc xã Quảng Vinh, huyện Quảng Điền; nằm cách Quốc lộ 1A khoảng 5km, cách cảng biển Thuận An khoảng 20km, cách Sân bay quốc tế Phú Bài 35km, cách cảng Chân Mây 75km."
"248","KCN Tứ Hạ thuộc phường Tứ Hạ, Thị xã Hương Trà; nằm cách trung tâm thành phố Huế khoảng 12km về phía Bắc, sân bay quốc tế Phú Bài 25km, cảng biển Chân Mây 60km, cảng biển Thuận An 10km"
"249","Khu kinh tế nằm giữa hai trung kinh tế và văn hoá lớn của miền Trung là Tp. Huế và Tp. Đà Nẵng và thuộc vùng kinh tế Trọng điểm Miền Trung; cách sân bay quốc tế Phú Bài 45km, cách TP Đà Nẵng và sân bay quốc tế Đà Nẵng 35km"
"250","Khu công nghiệp Hòa Bình tọa lạc tại Ấp 7, xã Nhị Thành, huyện Thủ Thừa, tỉnh Long An nằm trên đường tỉnh 818 cách Quốc lộ 1A 600m ."
"251","KCN La Sơn thuộc xã Lộc Sơn, huyện Phú Lộc; nằm sát tỉnh lộ 14B nối huyện Nam Đông với Quốc lộ 1A, cách Quốc lộ 1A khoảng 2km, cách ga Truồi khoảng 4km, cách sân bay Quốc tế Phú Bài 9km, cách cảng biển Chân Mây 30km, cách cảng biển Thuận An 25km."
"252","Cách thành phố Thái Nguyên về phía Nam 20km, cách thủ đô Hà Nội 65km về phía Bắc."
"253","Thuộc địa bàn các huyện: Yên Mỹ, Mỹ Hào và Văn Lâm, tỉnh Hưng Yên."
"254","Thuộc địa bàn các huyện: Yên Mỹ và Mỹ Hào."
"255","Thuộc địa bàn các huyện: Yên Mỹ, Mỹ Hào, tỉnh Hưng Yên."
"256","Khu công nghiệp Minh Đức có quy mô 198 ha, nằm tiếp giáp Quốc lộ 5 (Hà Nội - Hải Phòng)"
"257","Thuộc địa bàn huyện: Yên Mỹ, tỉnh Hưng Yên."
"258","Khu Công nghiệp Kim Động thuộc địa bàn huyện: Kim Động, tỉnh Hưng Yên, Tiếp giáp Quốc lộ 39; Cách các nút giao đường ô tô cao tốc Hà Nội- Hải Phòng khoảng 13 km."
"259","Khu công nghiệp Minh Quang có diện tích 153,7 ha, nằm tiếp giáp Quốc lộ 5 (Hà Nội- Hải Phòng)"
"26","Có vị trí nằm tại xã Thanh Bình, Chợ Mới, Bắc Kạn, KCN Thanh Bình nằm trong quy hoạch phát triển các khu công nghiệp Việt Nam, được đầu tư đồng bộ: cấp nước, điện, hệ thống xử lý nước thải tập trung, hệ thống đường giao thông nội bộ, hệ thống thông tin liên lạc"
"260","Khu công nghiệp Tịnh Phong nằm dọc quốc lộ 1A gần KKT Dung Quất và KCN VSIP Quảng Ngãi, cách sân bay Chu Lai khoảng hơn 25km thuận lợi trong giao thông và các dịch vụ tiện ích."
"261","Khu công nghiệp Quảng Phú nằm về phía Tây thành phố Quảng Ngãi, thuộc Phường Quảng Phú, gần KKT Dung Quất và KCN VSIP Quảng Ngãi, cách sân bay Chu Lai khoảng hơn 30km thuận lợi trong giao thông và các dịch vụ tiện ích."
"263","KCN Hòa Khánh Mở Rộng nằm dọc Quốc lộ 1A, cách trung tâm thành phố và sân bay Quốc tế Đà Nẵng chỉ 10km, cách ga Đà Nẵng chỉ 15km và cách cảng biển Quốc tế Tiên Sa chỉ 20km. Vị trí thuận lợi Khu công nghiệp Hòa Khánh mở rộng nằm trên trục đường giao thông quan trọng, kết nối dễ dàng với thị trường trong nước (đi các tỉnh vùng Tây Nguyên , Bình Định, Nha Trang..vv..) cũng như dễ dàng tiếp cận thị trường Lào, Thái Lan, Myanmar."
"264","Khu công nghiệp Long Hậu thuộc khu vực chiến lược ưu tiên phát triển công nghiệp tiến ra biển Đông của thành phố Hồ Chí Minh"
"27",""
"272",""
"277","KCN thuộc xã Thạnh Lộc, huyện Châu Thành, tỉnh Kiên Giang; KCN nằm trên tuyến đường hành lang ven biển phía Nam nối liền 3 nước Việt Nam, Campuchia, Thái Lan và nối với Quốc lộ 80; đường sông giáp kênh Cái Sắn, kênh Vành Đai; vị trí rất thuận tiện cho việc đi lại và vận chuyển hàng hóa bằng đường bộ, đường thủy và đường không."
"28",""
"281","KCN cách trung tâm huyện 7 km; cách Cảng hàng không Rạch Giá 15 km và thành phố Rạch Giá 22 km; nằm trên tuyến quốc lộ 63; đường sông giáp với sông Cái Lớn. Thuận tiện cho việc vận chuyển hàng hóa bằng đường bộ và đường thủy."
"282","KCN cách trung tâm thành phố Rạch Giá khoảng 17 km; cách trung tâm huyện Châu Thành khoảng 5 km; cách Cảng hàng không Rạch Giá khoảng 12 km; nằm trên tuyến quốc lộ 63; đường sông giáp với sông Cái Bé. Thuận tiện cho việc vận chuyển hàng hóa bằng đường bộ và đường thủy."
"283","KCN cách trung tâm huyện Kiên Lương khoảng 12 km, cách Cửa khẩu quốc tế Hà Tiên khoảng 42 km, cách cảng biển Hòn Chông khoảng 6 km, cách trung tâm thành phố Rạch Giá khoảng 82 km, KCN nằm trên tuyến Tỉnh lộ 11 nối với Quốc lộ 80."
"29","Xã Nhuận Trạch, huyện Lương Sơn, tỉnh Hòa Bình"
"297","Khu công nghiệp Trần Quốc Toản nằm sát Quốc lộ 30, cạnh phía nam bờ sông Tiền, có cảng cho tàu 5.000 tấn và xà lan 200 tấn cặp bến xếp dỡ hàng hoá, nguyên vật liệu. Thuận lợi cho vận chuyển thuỷ, bộ đi các tỉnh ĐBSCL, TPHCM, Campuchia, …, và cách biên giới Campuchia 70 km (cửa khẩu Quốc tế Dinh Bà)."
"298","Giao thông thuận lợi gồm: Đường bộ: Quốc Lộ 1A, và Đường cao tốc Tp. HCM – Trung Lương, khoảng 45 phút đến TP Hồ Chí Minh. Đường thủy: gần cảng Mỹ Tho và cảng Hiệp Phước."
"299","- Phía Đông giáp Khu công nghiệp Sài Đồng Bé - Phía Tây giáp đường Đàm Quang Trung - Phía Nam giáp Aeon Long Biên - Phía Bắc giáp Quốc lộ 5. - Cách trung tâm thành phố Hà Nội 15 phút đi xe, dễ dàng di chuyển đến các quận lân cận cũng như đi các tỉnh phía Bắc."
"3","Nằm sát quốc lộ 1A và thị xã Từ Sơn"
"30",""
"300","Khu công nghiệp thuộc địa bàn phường Tân Quy Đông (khu C), xã Tân Khánh Đông (khu C mở rộng) và phường An Hòa (khu A1), thị xã Sa Đéc, tỉnh Đồng Tháp do Công ty Cổ phần Đầu tư Phát triển nhà & Khu công nghiệp (HIDICO) làm chủ đầu tư. KCN này có lợi thế là nằm ở trung tâm đồng bằng sông Cửu Long, cạnh quốc lộ 80 và Tỉnh lộ 848; ngay bên bờ sông Tiền, có cảng trọng tải 5.000 tấn, cách cầu Mỹ Thuận 15 km và thành phố Hồ Chí Minh 140 km."
"302","Phía Đông và phía Nam giáp với khu dân cư xã Minh Hưng, phía Tây giáp với QL13, phía Bắc giáp với đất trồng cây cao su"
"303","Khu công nghiệp Becamex – Bình Phước nằm cạnh khu vực tứ giác kinh tế trọng điểm phía Nam (Tp.Hồ Chí Minh, Bình Dương, Bà Rịa-Vũng Tàu và Đồng Nai)"
"304","KCN Bắc Đồng Hới thuộc địa phận xã Lý Trạch, huyện Bố Trạch và xã Thuận Đức, thành phố Đồng Hới, cách tuyến đường Hồ Chí Minh 500m"
"305","KCN có vị trí vàng trong tam giác kinh tế Đông Bắc Bộ và nằm ở trung tâm Khu kinh tế Đình Vũ – Cát Hải. Nằm ở mũi nhọn hướng biển của bán đảo Đình Vũ, KCN hưởng trọn tất cả các lợi thế về kết nối giao thông, hệ thống cảng biển và logistics."
"307","Nằm ở phía Bắc tỉnh Quảng Bình, cách cảng Hòn La 10km và sát với quốc lộ 1"
"308","Khu công nghiệp Tây Bắc Quán Hàu thuộc xã Vĩnh Ninh, một phần thuộc thị trấn Quán Hàu và xã Lương Ninh huyện Quảng Ninh, tỉnh Quảng Bình. KCN gồm 3 phân khu và cách trục đường Hồ Chí Minh 1km"
"309","Khu công nghiệp Cam Liên với tuyến đường nâng cấp Quốc lộ 1A đi qua, cách tuyến Quốc lộ 1A khoảng 1,5km, cách Thị trấn Kiến Giang khoảng 7km về phía Tây, có vị trí thuộc trong địa giới hành chính ba xã Cam Thuỷ, xã Thanh Thuỷ, xã Ngư Thủy Bắc - huyện Lệ Thuỷ - tỉnh Quảng Bình"
"31",""
"310","Khu công nghiệp Bang được quy hoạch xây dựng trên khu đất thuộc địa giới hành chính xã Mai Thủy và xã Phú Thủy, huyện Lệ Thủy. Tuyến đường tỉnh lộ 9C chạy qua đã được đầu tư"
"311","Khu vực Quy hoạch nằm dọc theo 2 bên tuyến đường tỉnh lộ 22 thuộc KKT Hòn La"
"313","• Phía Đông: Giáp kênh Bo Bo; • Phía Tây: Giáp kênh Bà Báng; • Phía Nam: Giáp khu dân cư và khu tái định cư khu công nghiệp; • Phía Bắc: Giáp kênh Mương Khai."
"314","Khu Công Nghiệp Bắc Chu Lai Khu Công nghiệp nằm trong vùng động lực phát triển kinh tế của tỉnh, cách trung tâm tỉnh lị Quảng Nam (Thành phố Tam Kỳ) khoảng 30 Km, Thành phố Đà Nẵng 90 Km về phía Bắc; cách trung tâm Thành phố Quảng Ngãi 25 Km về phía Nam, có Quốc lộ 1A, đường cao tốc Bắc - Nam, đường sắt Bắc – Nam chạy qua, có sân bay Chu Lai, hệ thống cảng biển. Trên địa bàn có Khu Kinh tế mở Chu Lai và giáp với Khu kinh tế Dung Quất (Khoảng 25Km)."
"315","Khu vực nghiên cứu lập Quy hoạch chi tiết xây dựng Khu Công viên công nghệ thông tin Hà Nội, tỷ lệ 1/500 thuộc ranh giới hành chính các phường: Phúc Đồng, Long Biên - quận Long Biên, thành phố Hà Nội (trong phạm vi Khu công nghiệp Sài Đồng B). - Phía Đông Bắc là đường sắt Quốc gia (tuyến Hà Nội - Hải Phòng). - Phía Tây Nam là đường Cổ Linh có mặt cắt ngang 40m. - Phía Đông Nam là tim đường quy hoạch trong Khu Công nghiệp Sài Đồng B. - Phía Tây Bắc là tuyến đường Đàm Quang Trung dẫn lên cầu Vĩnh Tuy"
"316","Khu công nghiệp Kỹ thuật cao An Phát (An Phát Complex) nằm tại phường Việt Hòa, thành phố Hải Dương."
"318","Vị trí khu công nghiệp Quốc tế Protrade nằm tiếp giáp thành phố Hồ Chí Minh, Bình Dương là đầu mối chiến lược của vùng kinh tế trọng điểm phía Nam của Việt Nam. Với cơ sở hạ tầng hoàn thiện, các sở ban ngành liên quan của tỉnh Bình Dương hỗ trợ hết mình, đơn giản hóa các thủ tục hành chính và chính sách ưu đãi thuế. Tỉnh Bình Dương luôn là một trong những tỉnh đứng đầu về thu hút nước ngoài đầu tư trong các ngành nghề sản xuất công nghiệp."
"319","Vị trí khu công nghiệp Kim Hoa nằm tại thị xã Phúc Yên - tỉnh Vĩnh Phúc giáp ranh với Thành phố Hà Nội, cạnh Quốc lộ 2."
"32",""
"320","Vị trí khu công nghiệp Sơn Lôi thuộc huyện Bình Xuyên, nằm cạnh đường Quốc lộ 2 (Nội Bài – Lào Cai)"
"321","Khu công nghiệp Bàu Xèo nằm trên xã Sông Trầu, xã Tây Hòa, xã Đồi 61, thị trấn Trảng Bom, huyện Trảng Bom, tỉnh Đồng Nai"
"322","Khu công nghiệp Thạnh Phú thuộc tỉnh Đồng Nai, nằm trên đầu mối giao thông quan trọng của khu vực kinh tế trọng điểm phía Nam, có nhiều điều kiện thuận lợi cả về đường bộ, đường thuỷ và đường hàng không."
"327","Khu công nghiệp Xuân Lộc nằm cạnh Quốc lộ 1, trục giao thông huyết mạch Bắc – Nam, gần đường cao tốc Tp.HCM - Dầu Giây – Long Thành và cảng Phú Mỹ."
"328","Khu công nghiệp Biên Hòa II có vị trí địa lý chiến lược, cận kề cửa ngõ đầu mối giao thông khu vực tứ giác kinh tế (Đồng Nai – Bình Dương – Vũng Tàu – TP.Hồ Chí Minh)."
"329","Vị trí khu công nghiệp Sông Mây nằm ở Xã Bắc Sơn, Huyện Trảng Bom, là vùng kinh tế trọng điểm phía Nam, tỉnh Đồng Nai."
"33",""
"335","khu công nghiệp Nhơn Trạch I ở vị trí cao nhất của đô thị mới Nhơn trạch. Nằm trên đầu mối giao thông quan trọng của khu vực kinh tế trọng điểm phía Nam, tỉnh Đồng Nai cách QL51 là 04km."
"336","Khu công nghiệp Nhơn Trạch III có địa thế cao so với mặt biển 28m, bằng phẳng, nền đất cứng cường độ chịu nén cao, bình quân khoảng 25 tấn/m2 là nơi rất thuận lợi để xây dựng các công trình trong ngành công nghiệp nặng, công nghiệp nhẹ và đặc biệt là trong lĩnh vực công nghệ cao với chi phí và thời gian xây dựng được rút ngắn đáng kể. Huyện Nhơn Trạch, tỉnh Đồng Nai hầu như không bị ảnh hưởng của bão, lụt, thiên tai."
"337","Khu công nghiệp Loteco nằm giáp quốc lộ 51A, nối trực tiếp thành phố Biên Hòa với hệ thống cảng Thị Vải – nơi tập trung trung chuyển khoảng 40% container ở Việt Nam, tỉnh Bà Rịa Vũng Tàu. Với sự thuận tiện của giao thông đường bộ, đường thủy và hàng không. Khu công nghiệp Loteco thực sự có một vị trí lí tưởng, tiết kiệm chi phí và thời gian."
"338","Khí hậu Đồng Nai là khí hậu nhiệt đới gió mùa, có hai mùa tương phản nhau là mùa khô và mùa mưa. Mùa khô thường bắt đầu từ tháng 12 đến tháng 4 năm sau, mùa mưa kéo dài từ tháng 5 đến tháng 11. Khoảng kết thúc mùa mưa dao động từ đầu tháng 10 đến tháng 12. Nhiệt độ trung bình năm 25 – 27 °C, nhiệt độ cao cực trị khoảng 40 °C và thấp cực trị 12,5 °C và số giờ nắng trong năm 2.500 – 2.700 giờ, độ ẩm trung bình luôn cao 80 – 82%"
"339","Khu Công nghiệp Tam Hiệp nằm trong vùng động lực phát triển kinh tế của tỉnh, cách trung tâm tỉnh lị Quảng Nam (Thành phố Tam Kỳ) khoảng 30 Km, Thành phố Đà Nẵng 90 Km về phía Bắc; cách trung tâm Thành phố Quảng Ngãi 25 Km về phía Nam, có Quốc lộ 1A, đường cao tốc Bắc - Nam, đường sắt Bắc – Nam chạy qua, có sân bay Chu Lai, hệ thống cảng biển. Trên địa bàn có Khu Kinh tế mở Chu Lai và giáp với Khu kinh tế Dung Quất (Khoảng 25Km)."
"34",""
"340","Nằm trong vùng kinh tế trọng điểm phía Nam (gồm Đồng Nai, Tp.HCM, Bà Rịa – Vũng Tàu và Bình Dương). Là một trong số ít những khu công nghiệp có cảng nội khu thuận tiện cho việc vận chuyển hàng hóa xuất nhập khẩu."
"341","Tọa lạc tại các xã Lai Hưng và Lai Uyên, huyện Bàu Bàng của tỉnh Bình Dương, Khu công nghiệp Becamex Bàu Bàng có diện tích hơn 2,000 ha (khoảng 1,000 ha đất phát triển công nghiệp và 1,000 ha đất dịch vụ, đô thị). Dự án có vị trí chiến lược nằm cạnh Quốc Lộ 13, cửa ngõ giao thương của khu vực Đông Nam Bộ và Tây Nguyên."
"342","Khu công nghiệp Dệt may Bình An có vị trí địa lý thuận lợi nằm trên trục đường lưu thông hàng hoá của Khu kinh tế trọng điểm phía Nam, gần ga tàu, bến cảng, cách trung tâm TP Hồ Chí Minh 25 Km về phía Đông."
"343","Xã Hàm Kiệm, huyện Hàm Thuận Nam, tỉnh Bình Thuận, ngay cạnh trục Quốc lộ 1A đoạn Phan Thiết đi Tp Hồ Chí Minh, cách TP.Phan Thiết 09 km về phía Nam."
"344","Vị trí khu công nghiệp Bình Đường tọa lạc tại xã An Bình, huyện Dĩ An, tỉnh Bình Dương."
"345","Vị trí Khu công ngiệp Đại Đăng nằm tại trung tâm vùng kinh tế trọng điểm phía nam bao gồm: Thành phố Hồ Chí Minh. Bình Dương, Đồng nai, Bà Rịa -Vũng Tàu, Tây Ninh, Long An, Bình Phước, với hệ thống cơ sở hạ tầng hòan chỉnh, nối kết với các tuyến đường huyết mạch quốc gia và các trung tâm kinh tế thương mại cả nước rất thuận lợi, cũng như tiếp cận nhanh chóng các cảng biển, cảng đường bộ và cảng hàng không, do đó tiết kiệm được nhiều chi phí và thời gian vận chuyển, đặt biệt là chi phí xuất nhập khẩu hàng hóa."
"346","Vị trí khu công nghiệp (KCN) Đất Cuốc - Tân Uyên được xây dựng và kinh doanh với tổng diện tích là 212 ha, nằm ở khu vực Đông Bắc của huyện Tân Uyên cách thị xã Thủ Dầu Một khoảng 30 Km và cách thành phố Hồ Chí Minh khoảng 70 Km."
"347",""
"348","Xã Hàm Kiệm, huyện Hàm Thuận Nam, tỉnh Bình Thuận, ngay cạnh trục Quốc lộ 1A đoạn Phan Thiết đi Tp Hồ Chí Minh, cách TP.Phan Thiết 12 km về phía Nam."
"349","Xã Sông Bình, huyện Bắc Bình, tỉnh Bình Thuận, nằm cách trục quốc lộ 28B 700 m, Quốc lộ 1A 10km, cách trung tâm thành phố Phan Thiết khoảng 50 km và cách Cảng nước sâu Vĩnh Tân (Tuy Phong) 60km, nằm gần nguồn nguyên liệu quặng titan lớn."
